1,Acct-Status-Type,nil
2,NAS-IP-Address,nil
3,NAS-Port,nil
4,Acct-Session-Id,nil
5,Acme-Session-Ingress-CallId,3
6,Acme-Session--Egress-CallId,4
7,Acme-Session-Protocol-Type,43
8,Acme-Session--Generic-Id,40
9,Calling-Station-Id,31
10,Called-Station-Id,30
11,h323-setup-time,nil
12,h323-connect-time,nil
13,Acme-Egress-Network-Interface-Id,139
14,Acme-Egress-Vlan-Tag-Value,140
15,Acme-Ingress-Network-Interface-Id,137
16,Acme-Ingress-Vlan-Tag-Value,138
17,Acme-Session-Egress-Realm,42
18,Acme-Session-Ingress-Realm,41
19,Acme-FlowId_FS1_F,1
20,Acme-FlowType_FS1_F,2
21,Acme-Flow-In-Realm_FS1_F,10
22,Acme-Flow-In-Src-Addr_FS1_F,11
23,Acme-Flow-In-Src-Port_FS1_F,12
24,Acme-Flow-In-Dst-Addr_FS1_F,13
25,Acme-Flow-In-Dst-Port_FS1_F,14
26,Acme-Flow-Out-Realm_FS1_F,20
27,Acme-Flow-Out-Src-Addr_FS1_F,21
28,Acme-Flow-Out-Src-Port_FS1_F,22
29,Acme-Flow-Out-Dst-Addr_FS1_F,23
30,Acme-Flow-Out-Dst-Port_FS1_F,24
31,Acme-FlowID_FS1_R,78
32,Acme-FlowType_FS1_R,79
33,Acme-Flow-In-Realm_FS1_R,80
34,Acme-Flow-In-Src-Addr_FS1_R,81
35,Acme-Flow-In-Src-Port_FS1_R,82
36,Acme-Flow-In-Dst-Addr_FS1_R,83
37,Acme-Flow-In-Dst-Port_FS1_R,84
38,Acme-Flow-Out-Realm_FS1_R,85
39,Acme-Flow-Out-Src-Addr_FS1_R,86
40,Acme-Flow-Out-Src-Port_FS1_R,87
41,Acme-Flow-Out-Dst-Addr_FS1_R,88
42,Acme-Flow-Out-Dst-Port_FS1_R,89
43,Acme-FlowID_FS2_F,90
44,Acme-FlowType_FS2_F,91
45,Acme-Flow-In-Realm_FS2_F,92
46,Acme-Flow-In-Src-Addr_FS2_F,93
47,Acme-Flow-In-Src-Port_FS2_F,94
48,Acme-Flow-In-Dst-Addr_FS2_F,95
49,Acme-Flow-In-Dst-Port_FS2_F,96
50,Acme-Flow-Out-Realm_FS2_F,97
51,Acme-Flow-Out-Src-Addr_FS2_F,98
52,Acme-Flow-Out-Src-Port_FS2_F,99
53,Acme-Flow-Out-Dst-Addr_FS2_F,100
54,Acme-Flow-Out-Dst-Port_FS2_F,101
55,Acme-FlowID_FS2_R,112
56,Acme-FlowType_FS2_R,113
57,Acme-Flow-In-Realm_FS2_R,114
58,Acme-Flow-In-Src-Addr_FS2_R,115
59,Acme-Flow-In-Src-Port_FS2_R,116
60,Acme-Flow-In-Dst-Addr_FS2_R,117
61,Acme-Flow-In-Dst-Port_FS2_R,118
62,Acme-Flow-Out-Realm_FS2_R,119
63,Acme-Flow-Out-Src-Addr_FS2_R,120
64,Acme-Flow-Out-Src-Port_FS2_R,121
65,Acme-Flow-Out-Dst-Addr_FS2_R,122
66,Acme-Flow-Out-Dst-Port_FS2_R,123
67,Acme-Session-Charging-Vector,54
68,Acme-Session-Charging-Function_Address,55
69,Acme-Firmware-Version,56
70,Acme-Local-Time-Zone,57
71,Acme-Post-Dial-Delay,58
72,Acme-Primary-Routing-Number,64
73,Acme-Originating-Trunk-Group,65
74,Acme-Terminating-Trunk-Group,66
75,Acme-Originating-Trunk-Context,67
76,Acme-Terminating-Trunk-Context,68
77,Acme-P-Asserted-ID,69
78,Acme-Ingress-Local-Addr,74
79,Acme-Ingress-Remote-Addr,75
80,Acme-Egress-Local-Addr,76
81,Acme-Egress-Remote-Addr,77
82,Acme-SIP-Diversion,70
83,Acme-Egress-Final-Routing-Number,134
84,Acme-Session-Ingress-RPH,135
85,Acme-Session-Egress-RPH,136
86,Acme-Custom-VSA-200,200
87,Acme-Custom-VSA-201,201
88,Acme-Custom-VSA-202,202
89,Acme-Custom-VSA-203,203
90,Acme-Custom-VSA-204,204
91,Acme-Custom-VSA-205,205
92,Acme-Custom-VSA-206,206
93,Acme-Custom-VSA-207,207
94,Acme-Custom-VSA-208,208
95,Acme-Custom-VSA-209,209
96,Acme-Custom-VSA-210,210
97,Acme-Custom-VSA-211,211
98,Acme-Custom-VSA-212,212
99,Acme-Custom-VSA-213,213
100,Acme-Custom-VSA-214,214
101,Acme-Custom-VSA-215,215
102,Acme-Custom-VSA-216,216
103,Acme-Custom-VSA-217,217
104,Acme-Custom-VSA-218,218
105,Acme-Custom-VSA-219,219
106,Acme-Custom-VSA-220,220
107,Acme-Custom-VSA-221,221
108,Acme-Custom-VSA-222,222
109,Acme-Custom-VSA-223,223
110,Acme-Custom-VSA-224,224
111,Acme-Custom-VSA-225,225
112,Acme-Custom-VSA-226,226
113,Acme-Custom-VSA-227,227
114,Acme-Custom-VSA-228,228
115,Acme-Custom-VSA-229,229
116,Acme-Custom-VSA-230,230
